Survey_Date,Age,Gender,Region,Industry,Job_Role,Work_Arrangement,Hours_Per_Week,Mental_Health_Status,Burnout_Level,Work_Life_Balance_Score,Physical_Health_Issues,Social_Isolation_Score,Salary_Range,
6/2/2025,47,Female,Europe,Technology,Social Media Manager,Hybrid,50,None,High,1,Shoulder Pain,3,$80K-100K,
6/2/2025,64,Male,North America,Finance,Data Analyst,Onsite,42,Anxiety,High,3,None,1,$80K-100K,
6/2/2025,43,Female,Asia,Healthcare,Business Analyst,Onsite,65,PTSD,High,4,Back Pain; Neck Pain,3,$100K-120K,
6/2/2025,48,Female,Asia,Marketing,Sales Representative,Hybrid,63,PTSD,High,3,Back Pain; Wrist Pain,1,$80K-100K,
6/2/2025,63,Male,Asia,Healthcare,Account Manager,Onsite,55,ADHD,Medium,2,Back Pain; Shoulder Pain,2,$120K+,
6/2/2025,53,Male,Oceania,Finance,Research Scientist,Onsite,35,Anxiety,Medium,3,Back Pain; Shoulder Pain,3,$40K-60K,
6/2/2025,61,Female,Oceania,Technology,Financial Analyst,Remote,45,ADHD,Low,1,Back Pain; Shoulder Pain; Neck Pain,3,$80K-100K,
6/2/2025,52,Female,South America,Education,IT Support,Onsite,60,Depression,High,2,Back Pain; Eye Strain,1,$60K-80K,
6/2/2025,61,Female,Asia,Manufacturing,Customer Service Manager,Remote,46,None,High,1,Back Pain; Shoulder Pain; Eye Strain,5,$80K-100K,
6/2/2025,40,Male,Africa,Technology,Social Media Manager,Remote,35,PTSD,High,2,Neck Pain; Wrist Pain,3,$80K-100K,
6/2/2025,37,Male,Africa,Manufacturing,Social Media Manager,Remote,43,Depression,Medium,4,Back Pain,4,$40K-60K,
6/2/2025,55,Female,Africa,Technology,Quality Assurance,Hybrid,53,Anxiety,High,3,Back Pain; Shoulder Pain; Neck Pain,2,$80K-100K,
6/2/2025,32,Male,Asia,Technology,Digital Marketing Specialist,Remote,44,Stress Disorder,High,5,Eye Strain; Neck Pain,4,$60K-80K,
6/2/2025,57,Male,Oceania,Technology,DevOps Engineer,Hybrid,58,None,Low,3,Back Pain; Shoulder Pain; Eye Strain,1,$120K+,
6/2/2025,47,Male,North America,Professional Services,Social Media Manager,Remote,51,PTSD,Medium,5,Neck Pain; Wrist Pain,1,$40K-60K,
6/2/2025,47,Male,Oceania,Manufacturing,Operations Manager,Remote,48,Burnout,Medium,4,Shoulder Pain; Eye Strain; Neck Pain,5,$100K-120K,
6/2/2025,62,Male,North America,Professional Services,Product Manager,Onsite,37,Stress Disorder,Low,3,None,1,$100K-120K,
6/2/2025,35,Female,Asia,Professional Services,DevOps Engineer,Hybrid,59,None,High,3,Back Pain,3,$80K-100K,
6/2/2025,45,Female,Europe,Professional Services,Customer Service Manager,Onsite,65,None,Low,3,None,2,$80K-100K,
6/2/2025,29,Male,Africa,Healthcare,DevOps Engineer,Hybrid,58,Depression,Medium,3,Back Pain,3,$80K-100K,
6/2/2025,42,Female,Oceania,Professional Services,Product Manager,Onsite,57,Anxiety,Medium,3,Back Pain; Shoulder Pain; Eye Strain,4,$60K-80K,
6/2/2025,44,Male,Oceania,Manufacturing,Account Manager,Onsite,39,Stress Disorder,Medium,2,Eye Strain,3,$120K+,
6/2/2025,30,Male,North America,Professional Services,Executive Assistant,Remote,58,Depression,High,3,Shoulder Pain,4,$80K-100K,
6/2/2025,60,Male,Africa,Professional Services,DevOps Engineer,Onsite,65,Depression,Low,1,Shoulder Pain; Eye Strain,3,$100K-120K,
6/2/2025,60,Non-binary,South America,Customer Service,Data Scientist,Onsite,51,Depression,High,3,Back Pain; Shoulder Pain; Neck Pain,2,$60K-80K,
6/2/2025,40,Male,South America,Professional Services,Account Manager,Onsite,50,ADHD,High,3,Back Pain; Neck Pain,1,$80K-100K,
6/2/2025,27,Female,South America,Marketing,HR Manager,Onsite,50,Burnout,Medium,4,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,1,$60K-80K,
6/2/2025,34,Male,Africa,Professional Services,Data Scientist,Remote,63,PTSD,High,5,None,5,$100K-120K,
6/2/2025,37,Female,North America,Education,Technical Writer,Onsite,58,Stress Disorder,Medium,3,Eye Strain,3,$40K-60K,
6/2/2025,32,Male,North America,Marketing,UX Designer,Onsite,39,ADHD,Low,5,Shoulder Pain,5,$60K-80K,
6/2/2025,43,Male,Europe,Professional Services,HR Manager,Remote,36,Anxiety,High,4,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,2,$60K-80K,
6/2/2025,57,Female,Europe,Marketing,Business Analyst,Hybrid,48,None,High,2,Shoulder Pain; Wrist Pain,1,$80K-100K,
6/2/2025,57,Female,Africa,Manufacturing,DevOps Engineer,Remote,39,None,High,3,Back Pain; Shoulder Pain,5,$100K-120K,
6/2/2025,27,Male,Europe,Healthcare,Financial Analyst,Onsite,36,ADHD,Medium,3,None,2,$60K-80K,
6/2/2025,49,Female,Europe,Professional Services,Financial Analyst,Onsite,51,Anxiety,Medium,3,Back Pain; Eye Strain; Neck Pain,3,$100K-120K,
6/2/2025,33,Male,Africa,Technology,Executive Assistant,Hybrid,59,Anxiety,Medium,3,Shoulder Pain,4,$120K+,
6/2/2025,51,Male,Oceania,Manufacturing,Software Engineer,Hybrid,43,Anxiety,Medium,4,Back Pain,4,$60K-80K,
6/2/2025,45,Male,Oceania,Professional Services,UX Designer,Onsite,36,ADHD,Low,5,Back Pain,5,$100K-120K,
6/2/2025,25,Female,Africa,Manufacturing,Technical Writer,Onsite,49,Depression,Low,4,None,3,$60K-80K,
6/2/2025,25,Male,Asia,Finance,Data Scientist,Hybrid,40,ADHD,High,2,Back Pain; Eye Strain,3,$60K-80K,
6/2/2025,47,Non-binary,Africa,Technology,HR Manager,Hybrid,64,Anxiety,Low,3,None,1,$60K-80K,
6/2/2025,43,Male,North America,Manufacturing,Social Media Manager,Onsite,56,None,Low,3,Back Pain; Eye Strain,2,$60K-80K,
6/2/2025,42,Male,North America,Finance,Technical Writer,Onsite,55,Stress Disorder,Low,1,Back Pain,5,$60K-80K,
6/2/2025,43,Female,South America,Education,Research Scientist,Onsite,63,ADHD,Medium,3,Back Pain; Eye Strain; Wrist Pain,2,$80K-100K,
6/2/2025,52,Male,Oceania,Education,IT Support,Remote,44,Burnout,Medium,1,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,3,$60K-80K,
6/2/2025,25,Female,Africa,Retail,DevOps Engineer,Hybrid,62,PTSD,High,4,Eye Strain,5,$40K-60K,
6/2/2025,37,Female,North America,Finance,Product Manager,Onsite,60,Depression,Medium,3,Back Pain,3,$80K-100K,
6/2/2025,30,Male,Oceania,Finance,Content Writer,Onsite,48,Depression,Medium,1,Back Pain,2,$40K-60K,
6/2/2025,36,Male,Oceania,Customer Service,Technical Writer,Onsite,53,Stress Disorder,High,3,Back Pain; Eye Strain; Wrist Pain,1,$60K-80K,
6/2/2025,40,Female,Africa,Education,IT Support,Remote,42,ADHD,Low,3,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,3,$60K-80K,
